graphene a=1
440 atoms

1 atom types

0 30 xlo xhi
0 19.0526 ylo yhi
-10 10 zlo zhi

Masses

1 12.0107

Atoms

1 1 0 0 0 0
2 1 0 0.5 0.866025 0
3 1 0 1.5 0.866025 0
4 1 0 2 0 0
5 1 0 0 1.73205 0
6 1 0 0.5 2.59808 0
7 1 0 1.5 2.59808 0
8 1 0 2 1.73205 0
9 1 0 0 3.4641 0
10 1 0 0.5 4.33013 0
11 1 0 1.5 4.33013 0
12 1 0 2 3.4641 0
13 1 0 0 5.19615 0
14 1 0 0.5 6.06218 0
15 1 0 1.5 6.06218 0
16 1 0 2 5.19615 0
17 1 0 0 6.9282 0
18 1 0 0.5 7.79423 0
19 1 0 1.5 7.79423 0
20 1 0 2 6.9282 0
21 1 0 0 8.66025 0
22 1 0 0.5 9.52628 0
23 1 0 1.5 9.52628 0
24 1 0 2 8.66025 0
25 1 0 0 10.3923 0
26 1 0 0.5 11.2583 0
27 1 0 1.5 11.2583 0
28 1 0 2 10.3923 0
29 1 0 0 12.1244 0
30 1 0 0.5 12.9904 0
31 1 0 1.5 12.9904 0
32 1 0 2 12.1244 0
33 1 0 0 13.8564 0
34 1 0 0.5 14.7224 0
35 1 0 1.5 14.7224 0
36 1 0 2 13.8564 0
37 1 0 0 15.5885 0
38 1 0 0.5 16.4545 0
39 1 0 1.5 16.4545 0
40 1 0 2 15.5885 0
41 1 0 0 17.3205 0
42 1 0 0.5 18.1865 0
43 1 0 1.5 18.1865 0
44 1 0 2 17.3205 0
45 1 0 3 0 0
46 1 0 3.5 0.866025 0
47 1 0 4.5 0.866025 0
48 1 0 5 0 0
49 1 0 3 1.73205 0
50 1 0 3.5 2.59808 0
51 1 0 4.5 2.59808 0
52 1 0 5 1.73205 0
53 1 0 3 3.4641 0
54 1 0 3.5 4.33013 0
55 1 0 4.5 4.33013 0
56 1 0 5 3.4641 0
57 1 0 3 5.19615 0
58 1 0 3.5 6.06218 0
59 1 0 4.5 6.06218 0
60 1 0 5 5.19615 0
61 1 0 3 6.9282 0
62 1 0 3.5 7.79423 0
63 1 0 4.5 7.79423 0
64 1 0 5 6.9282 0
65 1 0 3 8.66025 0
66 1 0 3.5 9.52628 0
67 1 0 4.5 9.52628 0
68 1 0 5 8.66025 0
69 1 0 3 10.3923 0
70 1 0 3.5 11.2583 0
71 1 0 4.5 11.2583 0
72 1 0 5 10.3923 0
73 1 0 3 12.1244 0
74 1 0 3.5 12.9904 0
75 1 0 4.5 12.9904 0
76 1 0 5 12.1244 0
77 1 0 3 13.8564 0
78 1 0 3.5 14.7224 0
79 1 0 4.5 14.7224 0
80 1 0 5 13.8564 0
81 1 0 3 15.5885 0
82 1 0 3.5 16.4545 0
83 1 0 4.5 16.4545 0
84 1 0 5 15.5885 0
85 1 0 3 17.3205 0
86 1 0 3.5 18.1865 0
87 1 0 4.5 18.1865 0
88 1 0 5 17.3205 0
89 1 0 6 0 0
90 1 0 6.5 0.866025 0
91 1 0 7.5 0.866025 0
92 1 0 8 0 0
93 1 0 6 1.73205 0
94 1 0 6.5 2.59808 0
95 1 0 7.5 2.59808 0
96 1 0 8 1.73205 0
97 1 0 6 3.4641 0
98 1 0 6.5 4.33013 0
99 1 0 7.5 4.33013 0
100 1 0 8 3.4641 0
101 1 0 6 5.19615 0
102 1 0 6.5 6.06218 0
103 1 0 7.5 6.06218 0
104 1 0 8 5.19615 0
105 1 0 6 6.9282 0
106 1 0 6.5 7.79423 0
107 1 0 7.5 7.79423 0
108 1 0 8 6.9282 0
109 1 0 6 8.66025 0
110 1 0 6.5 9.52628 0
111 1 0 7.5 9.52628 0
112 1 0 8 8.66025 0
113 1 0 6 10.3923 0
114 1 0 6.5 11.2583 0
115 1 0 7.5 11.2583 0
116 1 0 8 10.3923 0
117 1 0 6 12.1244 0
118 1 0 6.5 12.9904 0
119 1 0 7.5 12.9904 0
120 1 0 8 12.1244 0
121 1 0 6 13.8564 0
122 1 0 6.5 14.7224 0
123 1 0 7.5 14.7224 0
124 1 0 8 13.8564 0
125 1 0 6 15.5885 0
126 1 0 6.5 16.4545 0
127 1 0 7.5 16.4545 0
128 1 0 8 15.5885 0
129 1 0 6 17.3205 0
130 1 0 6.5 18.1865 0
131 1 0 7.5 18.1865 0
132 1 0 8 17.3205 0
133 1 0 9 0 0
134 1 0 9.5 0.866025 0
135 1 0 10.5 0.866025 0
136 1 0 11 0 0
137 1 0 9 1.73205 0
138 1 0 9.5 2.59808 0
139 1 0 10.5 2.59808 0
140 1 0 11 1.73205 0
141 1 0 9 3.4641 0
142 1 0 9.5 4.33013 0
143 1 0 10.5 4.33013 0
144 1 0 11 3.4641 0
145 1 0 9 5.19615 0
146 1 0 9.5 6.06218 0
147 1 0 10.5 6.06218 0
148 1 0 11 5.19615 0
149 1 0 9 6.9282 0
150 1 0 9.5 7.79423 0
151 1 0 10.5 7.79423 0
152 1 0 11 6.9282 0
153 1 0 9 8.66025 0
154 1 0 9.5 9.52628 0
155 1 0 10.5 9.52628 0
156 1 0 11 8.66025 0
157 1 0 9 10.3923 0
158 1 0 9.5 11.2583 0
159 1 0 10.5 11.2583 0
160 1 0 11 10.3923 0
161 1 0 9 12.1244 0
162 1 0 9.5 12.9904 0
163 1 0 10.5 12.9904 0
164 1 0 11 12.1244 0
165 1 0 9 13.8564 0
166 1 0 9.5 14.7224 0
167 1 0 10.5 14.7224 0
168 1 0 11 13.8564 0
169 1 0 9 15.5885 0
170 1 0 9.5 16.4545 0
171 1 0 10.5 16.4545 0
172 1 0 11 15.5885 0
173 1 0 9 17.3205 0
174 1 0 9.5 18.1865 0
175 1 0 10.5 18.1865 0
176 1 0 11 17.3205 0
177 1 0 12 0 0
178 1 0 12.5 0.866025 0
179 1 0 13.5 0.866025 0
180 1 0 14 0 0
181 1 0 12 1.73205 0
182 1 0 12.5 2.59808 0
183 1 0 13.5 2.59808 0
184 1 0 14 1.73205 0
185 1 0 12 3.4641 0
186 1 0 12.5 4.33013 0
187 1 0 13.5 4.33013 0
188 1 0 14 3.4641 0
189 1 0 12 5.19615 0
190 1 0 12.5 6.06218 0
191 1 0 13.5 6.06218 0
192 1 0 14 5.19615 0
193 1 0 12 6.9282 0
194 1 0 12.5 7.79423 0
195 1 0 13.5 7.79423 0
196 1 0 14 6.9282 0
197 1 0 12 8.66025 0
198 1 0 12.5 9.52628 0
199 1 0 13.5 9.52628 0
200 1 0 14 8.66025 0
201 1 0 12 10.3923 0
202 1 0 12.5 11.2583 0
203 1 0 13.5 11.2583 0
204 1 0 14 10.3923 0
205 1 0 12 12.1244 0
206 1 0 12.5 12.9904 0
207 1 0 13.5 12.9904 0
208 1 0 14 12.1244 0
209 1 0 12 13.8564 0
210 1 0 12.5 14.7224 0
211 1 0 13.5 14.7224 0
212 1 0 14 13.8564 0
213 1 0 12 15.5885 0
214 1 0 12.5 16.4545 0
215 1 0 13.5 16.4545 0
216 1 0 14 15.5885 0
217 1 0 12 17.3205 0
218 1 0 12.5 18.1865 0
219 1 0 13.5 18.1865 0
220 1 0 14 17.3205 0
221 1 0 15 0 0
222 1 0 15.5 0.866025 0
223 1 0 16.5 0.866025 0
224 1 0 17 0 0
225 1 0 15 1.73205 0
226 1 0 15.5 2.59808 0
227 1 0 16.5 2.59808 0
228 1 0 17 1.73205 0
229 1 0 15 3.4641 0
230 1 0 15.5 4.33013 0
231 1 0 16.5 4.33013 0
232 1 0 17 3.4641 0
233 1 0 15 5.19615 0
234 1 0 15.5 6.06218 0
235 1 0 16.5 6.06218 0
236 1 0 17 5.19615 0
237 1 0 15 6.9282 0
238 1 0 15.5 7.79423 0
239 1 0 16.5 7.79423 0
240 1 0 17 6.9282 0
241 1 0 15 8.66025 0
242 1 0 15.5 9.52628 0
243 1 0 16.5 9.52628 0
244 1 0 17 8.66025 0
245 1 0 15 10.3923 0
246 1 0 15.5 11.2583 0
247 1 0 16.5 11.2583 0
248 1 0 17 10.3923 0
249 1 0 15 12.1244 0
250 1 0 15.5 12.9904 0
251 1 0 16.5 12.9904 0
252 1 0 17 12.1244 0
253 1 0 15 13.8564 0
254 1 0 15.5 14.7224 0
255 1 0 16.5 14.7224 0
256 1 0 17 13.8564 0
257 1 0 15 15.5885 0
258 1 0 15.5 16.4545 0
259 1 0 16.5 16.4545 0
260 1 0 17 15.5885 0
261 1 0 15 17.3205 0
262 1 0 15.5 18.1865 0
263 1 0 16.5 18.1865 0
264 1 0 17 17.3205 0
265 1 0 18 0 0
266 1 0 18.5 0.866025 0
267 1 0 19.5 0.866025 0
268 1 0 20 0 0
269 1 0 18 1.73205 0
270 1 0 18.5 2.59808 0
271 1 0 19.5 2.59808 0
272 1 0 20 1.73205 0
273 1 0 18 3.4641 0
274 1 0 18.5 4.33013 0
275 1 0 19.5 4.33013 0
276 1 0 20 3.4641 0
277 1 0 18 5.19615 0
278 1 0 18.5 6.06218 0
279 1 0 19.5 6.06218 0
280 1 0 20 5.19615 0
281 1 0 18 6.9282 0
282 1 0 18.5 7.79423 0
283 1 0 19.5 7.79423 0
284 1 0 20 6.9282 0
285 1 0 18 8.66025 0
286 1 0 18.5 9.52628 0
287 1 0 19.5 9.52628 0
288 1 0 20 8.66025 0
289 1 0 18 10.3923 0
290 1 0 18.5 11.2583 0
291 1 0 19.5 11.2583 0
292 1 0 20 10.3923 0
293 1 0 18 12.1244 0
294 1 0 18.5 12.9904 0
295 1 0 19.5 12.9904 0
296 1 0 20 12.1244 0
297 1 0 18 13.8564 0
298 1 0 18.5 14.7224 0
299 1 0 19.5 14.7224 0
300 1 0 20 13.8564 0
301 1 0 18 15.5885 0
302 1 0 18.5 16.4545 0
303 1 0 19.5 16.4545 0
304 1 0 20 15.5885 0
305 1 0 18 17.3205 0
306 1 0 18.5 18.1865 0
307 1 0 19.5 18.1865 0
308 1 0 20 17.3205 0
309 1 0 21 0 0
310 1 0 21.5 0.866025 0
311 1 0 22.5 0.866025 0
312 1 0 23 0 0
313 1 0 21 1.73205 0
314 1 0 21.5 2.59808 0
315 1 0 22.5 2.59808 0
316 1 0 23 1.73205 0
317 1 0 21 3.4641 0
318 1 0 21.5 4.33013 0
319 1 0 22.5 4.33013 0
320 1 0 23 3.4641 0
321 1 0 21 5.19615 0
322 1 0 21.5 6.06218 0
323 1 0 22.5 6.06218 0
324 1 0 23 5.19615 0
325 1 0 21 6.9282 0
326 1 0 21.5 7.79423 0
327 1 0 22.5 7.79423 0
328 1 0 23 6.9282 0
329 1 0 21 8.66025 0
330 1 0 21.5 9.52628 0
331 1 0 22.5 9.52628 0
332 1 0 23 8.66025 0
333 1 0 21 10.3923 0
334 1 0 21.5 11.2583 0
335 1 0 22.5 11.2583 0
336 1 0 23 10.3923 0
337 1 0 21 12.1244 0
338 1 0 21.5 12.9904 0
339 1 0 22.5 12.9904 0
340 1 0 23 12.1244 0
341 1 0 21 13.8564 0
342 1 0 21.5 14.7224 0
343 1 0 22.5 14.7224 0
344 1 0 23 13.8564 0
345 1 0 21 15.5885 0
346 1 0 21.5 16.4545 0
347 1 0 22.5 16.4545 0
348 1 0 23 15.5885 0
349 1 0 21 17.3205 0
350 1 0 21.5 18.1865 0
351 1 0 22.5 18.1865 0
352 1 0 23 17.3205 0
353 1 0 24 0 0
354 1 0 24.5 0.866025 0
355 1 0 25.5 0.866025 0
356 1 0 26 0 0
357 1 0 24 1.73205 0
358 1 0 24.5 2.59808 0
359 1 0 25.5 2.59808 0
360 1 0 26 1.73205 0
361 1 0 24 3.4641 0
362 1 0 24.5 4.33013 0
363 1 0 25.5 4.33013 0
364 1 0 26 3.4641 0
365 1 0 24 5.19615 0
366 1 0 24.5 6.06218 0
367 1 0 25.5 6.06218 0
368 1 0 26 5.19615 0
369 1 0 24 6.9282 0
370 1 0 24.5 7.79423 0
371 1 0 25.5 7.79423 0
372 1 0 26 6.9282 0
373 1 0 24 8.66025 0
374 1 0 24.5 9.52628 0
375 1 0 25.5 9.52628 0
376 1 0 26 8.66025 0
377 1 0 24 10.3923 0
378 1 0 24.5 11.2583 0
379 1 0 25.5 11.2583 0
380 1 0 26 10.3923 0
381 1 0 24 12.1244 0
382 1 0 24.5 12.9904 0
383 1 0 25.5 12.9904 0
384 1 0 26 12.1244 0
385 1 0 24 13.8564 0
